18-09-000085, Solar ,240,5.99,2018-03-22,94.14,,29463.9, CA ,674,51.2, SunRun ,Carval,1-7.18
18-09-000099, Solar ,120,3.99,2018-03-23,89.04,,27973.7, CA ,764,, SunRun ,Carval,1-7.18
18-09-000103, Solar ,240,5.99,2018-03-05,94.14,,32519.99, CA ,709,, SunRun ,Carval,1-7.18
18-09-000106, Solar ,240,3.99,2018-03-09,85.14,,14557.24, ID ,735,, BlueRaven ,Carval,1-7.18
18-09-000108, Solar ,120,3.99,2018-03-13,89.04,,14250.49, CA ,845,, SunRun ,Carval,1-7.18
18-09-000149, Solar ,120,3.99,2018-03-19,89.04,,18006.83, CA ,791,, SunRun ,Carval,1-7.18
18-10-000082, Solar ,120,2.99,2018-03-09,85.94,,16339.77, CO ,812,, BlueRaven ,Carval,1-7.18
18-10-000169, Solar ,120,2.99,2018-03-20,85.94,,16923.3, OR ,726,, BlueRaven ,Carval,1-7.18
18-11-000045, Solar ,240,3.99,2018-02-08,85.14,,12375.1, CO ,843,, BlueRaven ,Carval,1-7.18
18-11-000087, Solar ,240,4.99,2018-03-16,89.54,,34974.32, CA ,791,, Velocity ,Carval,1-7.18
18-11-000090, Solar ,120,3.99,2018-03-08,89.04,,25876.28, CA ,773,, SunRun ,Carval,1-7.18
18-11-000115, Solar ,120,3.99,2018-03-09,89.04,,12910.8, CA ,771,, Solcius ,Carval,1-7.18
18-12-000048, Solar ,240,3.99,2018-03-19,85.14,,15485.26, CA ,777,, Solcius ,Carval,1-7.18
18-12-000095, Solar ,240,3.99,2018-03-19,85.14,,10394.74, CO ,802,, BlueRaven ,Carval,1-7.18
18-12-000109, Solar ,120,3.99,2018-03-09,89.04,,12283.34, CA ,792,, SunRun ,Carval,1-7.18
18-12-000176, Solar ,240,5.99,2018-03-13,94.14,,22351.35, CA ,825,, SunRun ,Carval,1-7.18
18-13-000143, Solar ,120,3.99,2018-03-16,89.04,,13126.65, CA ,847,, SunRun ,Carval,1-7.18
18-13-000178, Solar ,240,5.99,2018-03-12,94.14,,18252.85, CA ,711,, SunRun ,Carval,1-7.18
18-13-000259, Solar ,240,3.99,2018-03-16,85.14,,21285, TX ,683,39.2, InfinityEnergy ,Carval,1-7.18
18-14-000026, Solar ,240,5.99,2018-01-18,94.14,,29183.4, AZ ,838,, SunRun ,Carval,1-7.18
18-14-000047, Solar ,240,3.99,2018-03-07,85.14,,39683.75, CO ,680,34.8, BlueRaven ,Carval,1-7.18
18-14-000105, Solar ,240,4.99,2018-03-20,89.54,,51560.71, TX ,775,, Trismart ,Carval,1-7.18
18-15-000020, Solar ,240,3.99,2018-01-31,85.14,,12449.17, CO ,809,, BlueRaven ,Carval,1-7.18
18-15-000063, Solar ,240,4.99,2018-03-08,89.54,,26329.24, TX ,684,38.7, Trismart ,Carval,1-7.18
18-15-000115, Solar ,240,3.99,2018-03-14,85.14,,42914.82, SC ,799,, BlueRaven ,Carval,1-7.18
18-15-000122, Solar ,240,3.99,2018-03-20,85.14,,22717.91, OR ,755,, BlueRaven ,Carval,1-7.18
18-15-000167, Solar ,240,3.99,2018-03-09,85.14,,37152.54, CO ,689,49, BlueRaven ,Carval,1-7.18
18-15-000175, Solar ,120,3.99,2018-03-16,89.04,,12224.18, CA ,791,, SunRun ,Carval,1-7.18
18-15-000212, Solar ,240,3.99,2018-03-16,85.14,,13579.83, CA ,757,, Solcius ,Carval,1-7.18
18-16-000054, Solar ,240,3.99,2018-02-06,85.14,,15422.26, CO ,804,, BlueRaven ,Carval,1-7.18
18-16-000074, Solar ,120,3.99,2018-03-16,89.04,,15720.28, CA ,678,41, SunRun ,Carval,1-7.18
18-16-000104, Solar ,120,3.99,2018-03-16,89.04,,18455.23, CA ,698,9.6, SunRun ,Carval,1-7.18
18-16-000116, Solar ,120,2.99,2018-03-19,85.94,,21175.62, TX ,786,, Ion ,Carval,1-7.18
18-16-000169, Solar ,120,3.99,2018-03-13,89.04,,16786.91, CA ,758,, SunRun ,Carval,1-7.18
18-16-000321, Solar ,240,5.99,2018-03-15,94.14,,26076.78, TX ,753,, EnvirosolarPower ,Carval,1-7.18
17-01-000008,Solar,240,3.99,2018-02-22,85.14,,24396.02, SC ,696,52.5, BlueRaven ,Carval,1-7.18
17-01-000009,Solar,240,4.99,2018-02-02,89.54,,55301.69, CA ,766,, Velocity ,Carval,1-7.18
17-01-000024,Solar,240,4.99,2018-02-14,89.54,,56132.63, CA ,749,, Velocity ,Carval,1-7.18
17-01-000033,Solar,240,3.99,2018-02-26,85.14,,21285, CA ,772,, Solcius ,Carval,1-7.18
17-02-000018,Solar,240,4.99,2018-01-31,89.54,,29144.37, CA ,850,, Velocity ,Carval,1-7.18
17-03-000005,Solar,240,3.99,2018-02-16,85.14,,12778.66, SC ,678,34.2, BlueRaven ,Carval,1-7.18
17-05-000023,Solar,120,3.99,2018-01-22,89.04,,17661.97, CA ,812,, Complete ,Carval,1-7.18
17-05-000025,Solar,240,3.99,2018-02-12,85.14,,22614.79, OR ,827,, BlueRaven ,Carval,1-7.18
17-06-000016,Solar,120,3.99,2018-02-23,89.04,,19588.8, AZ ,702,, SunRun ,Carval,1-7.18
17-06-000021,Solar,240,3.99,2018-02-22,85.14,,17011.82, CA ,716,, Solcius ,Carval,1-7.18
17-06-000028,Solar,240,3.99,2018-02-16,85.14,,12329.97, CO ,737,, BlueRaven ,Carval,1-7.18
17-07-000008,Solar,240,3.99,2018-02-22,85.14,,25529.23, SC ,782,, BlueRaven ,Carval,1-7.18
17-07-000011,Solar,120,3.99,2017-12-30,89.04,,24919.62, AZ ,803,, SunRun ,Carval,1-7.18
17-07-000022,Solar,120,3.99,2018-01-31,89.04,,7696.62, CA ,846,, Velocity ,Carval,1-7.18
17-09-000015,Solar,240,3.99,2018-02-26,85.14,,13489.58, CO ,703,, BlueRaven ,Carval,1-7.18
17-09-000024,Solar,240,4.99,2018-01-31,89.54,,32642.7, CA ,779,, Velocity ,Carval,1-7.18
17-10-000015,Solar,240,4.99,2018-02-26,89.54,,30204.53, TX ,673,42.1, Trismart ,Carval,1-7.18
17-10-000029,Solar,120,3.99,2018-02-21,89.04,,17685.12, TX ,701,, Trismart ,Carval,1-7.18
17-13-000026,Solar,240,3.99,2018-02-14,85.14,,15897.68, UT ,752,, Solcius ,Carval,1-7.18
17-14-000012,Solar,240,4.99,2018-01-31,89.54,,51295.68, CA ,766,, Velocity ,Carval,1-7.18
17-15-000008,Solar,120,3.99,2018-02-08,89.04,,19099.08, TX ,803,, Trismart ,Carval,1-7.18
17-16-000009,Solar,240,3.99,2018-02-22,85.14,,21153.88, SC ,738,, BlueRaven ,Carval,1-7.18
17-16-000025,Solar,240,3.99,2018-02-28,85.14,,14378.44, CO ,842,, BlueRaven ,Carval,1-7.18
18-01-000077,Solar,240,3.99,2018-02-14,85.14,,16592.08, CA ,722,, Solcius ,Carval,1-7.18
18-01-000081,Solar,240,3.99,2018-02-28,85.14,,14354.6, CO ,743,, BlueRaven ,Carval,1-7.18
18-01-000104,Solar,240,3.99,2018-02-28,85.14,,20317.81, CO ,713,, BlueRaven ,Carval,1-7.18
18-02-000033,Solar,240,3.99,2018-02-22,85.14,,32246.78, CO ,747,, BlueRaven ,Carval,1-7.18
18-02-000039,Solar,240,3.99,2018-02-26,85.14,,13954.45, CO ,831,, BlueRaven ,Carval,1-7.18
18-02-000062,Solar,120,3.99,2018-02-21,89.04,,28953.28, CA ,744,, SunRun ,Carval,1-7.18
18-02-000071,Solar,240,4.99,2018-02-27,89.54,,28675.19, TX ,687,42.9, Trismart ,Carval,1-7.18
18-02-000080,Solar,240,3.99,2018-02-27,85.14,,19513.24, CO ,811,, BlueRaven ,Carval,1-7.18
18-02-000116,Solar,240,3.99,2018-02-28,85.14,,17011.82, CA ,700,, Solcius ,Carval,1-7.18
18-02-000125,Solar,240,5.99,2018-02-26,94.14,,30416.01, CA ,776,, SunRun ,Carval,1-7.18
18-02-000190,Solar,240,4.99,2018-02-27,89.54,,44159, CA ,720,, Complete ,Carval,1-7.18
18-03-000063,Solar,240,3.99,2018-02-14,85.14,,11408.76, CO ,797,, BlueRaven ,Carval,1-7.18
18-03-000073,Solar,240,3.99,2018-02-26,85.14,,17295.14, CA ,788,, Complete ,Carval,1-7.18
18-03-000074,Solar,120,3.99,2018-02-22,89.04,,29052.21, CA ,686,30, SunRun ,Carval,1-7.18
18-03-000083,Solar,120,3.99,2018-02-21,89.04,,18210.46, CA ,756,, SunRun ,Carval,1-7.18
18-03-000085,Solar,120,3.99,2018-02-26,89.04,,14307.32, CA ,746,, SunRun ,Carval,1-7.18
18-03-000088,Solar,120,3.99,2018-02-14,89.04,,17994.09, CA ,695,49.9, SunRun ,Carval,1-7.18
18-03-000095,Solar,120,3.99,2018-02-15,89.04,,28256.02, CA ,822,, SunRun ,Carval,1-7.18
18-03-000111,Solar,240,3.99,2018-02-23,85.14,,10329.18, CO ,799,, BlueRaven ,Carval,1-7.18
18-04-000034,Solar,240,4.99,2018-02-27,89.54,,24251.01, TX ,742,, Trismart ,Carval,1-7.18
18-04-000061,Solar,240,3.99,2018-02-28,85.14,,20951.5, ID ,836,, BlueRaven ,Carval,1-7.18
18-04-000075,Solar,240,4.99,2018-02-28,89.54,,17932.76, TX ,825,, Ion ,Carval,1-7.18
18-04-000085,Solar,240,4.99,2018-02-21,89.54,,16509.39, CA ,726,, Ion ,Carval,1-7.18
18-04-000103,Solar,240,3.99,2018-02-26,85.14,,19003.25, CA ,726,, Solcius ,Carval,1-7.18
18-04-000106,Solar,120,3.99,2018-02-26,89.04,,11842.4, CA ,785,, SunRun ,Carval,1-7.18
18-05-000053,Solar,240,3.99,2018-02-22,85.14,,13258.69, ID ,847,, BlueRaven ,Carval,1-7.18
18-05-000057,Solar,240,3.99,2018-02-21,85.14,,27585.36, CA ,714,, Solcius ,Carval,1-7.18
18-05-000061,Solar,120,3.99,2018-02-21,89.04,,18156.4, CA ,741,, SunRun ,Carval,1-7.18
18-05-000100,Solar,240,3.99,2018-02-28,85.14,,26510.32, SC ,777,, BlueRaven ,Carval,1-7.18
18-05-000105,Solar,240,3.99,2018-02-26,85.14,,25541.15, CA ,753,, Solcius ,Carval,1-7.18
18-06-000043,Solar,240,3.99,2018-02-15,85.14,,11327.88, CO ,813,, BlueRaven ,Carval,1-7.18
18-06-000067,Solar,120,3.99,2018-02-23,89.04,,19979.32, CA ,846,, SunRun ,Carval,1-7.18
18-06-000096,Solar,120,3.99,2018-02-26,89.04,,19935.75, CA ,763,, SunRun ,Carval,1-7.18
18-07-000055,Solar,120,3.99,2018-02-12,89.04,,20954.18, CA ,819,, SunRun ,Carval,1-7.18
18-07-000058,Solar,120,3.99,2018-02-26,89.04,,27900.11, CA ,712,, SunRun ,Carval,1-7.18
18-07-000093,Solar,240,3.99,2018-02-27,85.14,,28884.6, CA ,800,, Solcius ,Carval,1-7.18
18-07-000117,Solar,120,3.99,2018-02-21,89.04,,21751.58, CA ,790,, SunRun ,Carval,1-7.18
18-08-000031,Solar,240,3.99,2018-02-21,85.14,,18683.12, CA ,760,, Solcius ,Carval,1-7.18
18-08-000036,Solar,240,3.99,2018-02-22,85.14,,19110.52, CA ,780,, Solcius ,Carval,1-7.18
18-08-000039,Solar,240,3.99,2018-02-16,85.14,,27840.78, CA ,661,45.9, Solcius ,Carval,1-7.18
18-08-000046,Solar,240,3.99,2018-02-07,85.14,,15703.22, CA ,746,, Solcius ,Carval,1-7.18
18-08-000063,Solar,240,3.99,2018-02-22,85.14,,19357.43, CA ,741,, Solcius ,Carval,1-7.18
18-08-000067,Solar,240,4.99,2018-02-27,89.54,,36212.66, TX ,659,33.5, Trismart ,Carval,1-7.18
18-08-000069,Solar,120,3.99,2018-02-28,89.04,,22766.01, CA ,673,5.1, SunRun ,Carval,1-7.18
18-08-000093,Solar,240,3.99,2018-02-21,85.14,,23649.34, CA ,685,14.9, Solcius ,Carval,1-7.18
18-08-000101,Solar,240,5.99,2018-02-26,94.14,,33588.83, CA ,845,, SunRun ,Carval,1-7.18
18-08-000110,Solar,240,3.99,2018-02-16,85.14,,29628.72, CA ,661,15.7, Solcius ,Carval,1-7.18
18-09-000043,Solar,120,3.99,2018-02-21,89.04,,22405.14, TX ,688,0, Trismart ,Carval,1-7.18
18-09-000047,Solar,120,2.99,2018-02-26,85.94,,26211.7, FL ,772,, SunRun ,Carval,1-7.18
18-09-000074,Solar,240,3.99,2018-02-23,85.14,,13366.98, CA ,818,, Solcius ,Carval,1-7.18
18-09-000084,Solar,240,3.99,2018-02-21,85.14,,29449.93, CA ,699,54.6, Solcius ,Carval,1-7.18
18-09-000086,Solar,240,3.99,2018-02-21,85.14,,16601.45, CA ,741,, Solcius ,Carval,1-7.18
18-10-000059,Solar,120,3.99,2018-02-22,89.04,,12812.86, TX ,679,52.1, Trismart ,Carval,1-7.18
18-10-000065,Solar,120,3.99,2018-02-09,89.04,,19121.71, CA ,818,, SunRun ,Carval,1-7.18
18-10-000092,Solar,240,3.99,2018-02-26,85.14,,15555.08, CA ,805,, Solcius ,Carval,1-7.18
18-10-000105,Solar,240,3.99,2018-02-26,85.14,,17283.42, CA ,774,, Solcius ,Carval,1-7.18
18-10-000106,Solar,240,3.99,2018-02-26,85.14,,18385.98, CA ,700,, Solcius ,Carval,1-7.18
18-11-000023,Solar,120,3.99,2018-02-23,89.04,,23311.56, TX ,723,, Trismart ,Carval,1-7.18
18-11-000026,Solar,240,3.99,2018-02-22,85.14,,10365.8, CO ,772,, BlueRaven ,Carval,1-7.18
18-11-000034,Solar,240,3.99,2018-02-23,85.14,,25542, CA ,709,, Solcius ,Carval,1-7.18
18-11-000048,Solar,240,5.99,2018-02-21,94.14,,20780.46, CA ,714,, SunRun ,Carval,1-7.18
