18-13-000620,Solar,240,3.99,2018-06-05,84.51,,11429.98,CO,821,,BlueRaven,Carval,1-7.5
18-13-000626,Solar,240,3.99,2018-06-05,84.51,,11376.53,CO,673,44.3,BlueRaven,Carval,1-7.5
18-13-000629,Solar,240,3.99,2018-06-11,84.51,,26280.56,CA,829,,Solcius,Carval,1-7.5
18-13-000638,Solar,120,2.99,2018-06-08,85.68,,15327.89,CO,826,,CAMSolar,Carval,1-7.5
18-13-000679,Solar,240,3.99,2018-06-04,84.51,,12296.13,TX,782,,CAMSolar,Carval,1-7.5
18-13-000682,Solar,240,3.99,2018-06-11,84.51,,18004.72,ID,850,,EmpireSolar,Carval,1-7.5
18-13-000711,Solar,240,3.99,2018-06-04,84.51,,19431.47,CA,737,,Solcius,Carval,1-7.5
18-13-000738,Solar,240,3.99,2018-06-04,84.51,,24328.37,CA,836,,Sunfinity,Carval,1-7.5
18-13-000750,Solar,240,3.99,2018-06-19,84.51,,39114.53,CA,686,41.9,Complete,Carval,1-7.5
18-13-000761,Solar,240,5.99,2018-05-23,92.25,,10020.11,CA,712,,SunRun,Carval,1-7.5
18-13-000781,Solar,120,3.99,2018-05-31,88.42,,18820.42,CA,790,,SunRun,Carval,1-7.5
18-13-000793,Solar,240,3.99,2018-06-18,84.51,,14229.33,AZ,693,41,ArcadiaSolar,Carval,1-7.5
18-13-000797,Solar,240,4.99,2018-06-20,88.31,,17020.23,CA,769,,SemperSolaris,Carval,1-7.5
18-13-000801,Solar,240,3.99,2018-06-18,84.51,,41821.53,NV,777,,ElevationSolar,Carval,1-7.5
18-13-000843,Solar,240,3.99,2018-06-21,84.51,,21136.66,OR,733,,BlueRaven,Carval,1-7.5
18-13-000872,Solar,240,3.99,2018-06-05,84.51,,12517.67,CO,795,,BlueRaven,Carval,1-7.5
18-13-000905,Solar,240,3.99,2018-06-18,84.51,,15725.11,CO,728,,BlueRaven,Carval,1-7.5
18-13-001147,Solar,240,3.99,2018-06-19,84.51,,8884.54,CA,772,,Sunfinity,Carval,1-7.5
18-13-001161,Solar,240,3.99,2018-06-21,84.51,,22760.53,CA,793,,Solcius,Carval,1-7.5
18-13-001187,Solar,240,3.99,2018-06-21,84.51,,18905.73,CA,683,42,Solcius,Carval,1-7.5
18-13-001216,Solar,120,2.99,2018-06-20,85.68,,16217.07,CA,850,,InfinityEnergy,Carval,1-7.5
18-13-001285,Solar,240,3.99,2018-06-19,84.51,,18803.98,CO,768,,TotalSolar,Carval,1-7.5
18-13-001289,Solar,240,3.99,2018-06-21,84.51,,8747.6,CA,795,,InfinityEnergy,Carval,1-7.5
18-14-000307,Solar,240,3.99,2018-06-18,84.51,,17858.66,ID,774,,BlueRaven,Carval,1-7.5
18-14-000412,Solar,240,3.99,2018-06-06,84.51,,24831.86,SC,686,47.4,BlueRaven,Carval,1-7.5
18-14-000419,Solar+Storage,240,5.99,2018-06-05,92.25,,41273.38,AZ,734,,SunRun,Carval,1-7.5
18-14-000482,Solar,120,2.99,2018-06-06,85.68,,19074.43,NM,813,,Ion,Carval,1-7.5
18-14-000488,Solar,240,3.99,2018-06-07,84.51,,14675.61,SC,708,,Solcius,Carval,1-7.5
18-14-000579,Solar,240,3.99,2018-06-08,84.51,,19023.56,NY,746,,Vivint,Carval,1-7.5
18-14-000589,Solar,240,3.99,2018-06-18,84.51,,11617.23,CO,816,,CAMSolar,Carval,1-7.5
18-14-000599,Solar,240,3.99,2018-06-18,84.51,,17884.92,CA,797,,Solcius,Carval,1-7.5
18-14-000603,Solar,240,3.99,2018-06-05,84.51,,20453.83,NM,654,49.6,Ion,Carval,1-7.5
18-14-000665,Solar,240,3.99,2018-06-07,84.51,,11421.06,CO,692,39.7,BlueRaven,Carval,1-7.5
18-14-000683,Solar,240,3.99,2018-06-18,84.51,,20310.68,CO,791,,BlueRaven,Carval,1-7.5
18-14-000690,Solar,180,3.99,2018-06-15,86.04,,30390.85,NJ,778,,Complete,Carval,1-7.5
18-14-000692,Solar,240,3.99,2018-06-20,84.51,,17160.49,SC,683,4.6,Solcius,Carval,1-7.5
18-14-000694,Solar,240,4.99,2018-06-05,88.31,,29057.72,FL,850,,SunRun,Carval,1-7.5
18-14-000702,Solar,240,3.99,2018-06-08,84.51,,10186.86,CA,671,34.6,Complete,Carval,1-7.5
18-14-000711,Solar+Storage,120,3.99,2018-05-22,88.42,,42906.11,CA,749,,SunRun,Carval,1-7.5
18-14-000765,Solar,240,3.99,2018-06-06,84.51,,39679.89,CA,739,,Solcius,Carval,1-7.5
18-14-000807,Solar,240,3.99,2018-06-18,84.51,,33625.27,CA,741,,Solcius,Carval,1-7.5
18-14-000818,Solar,240,3.99,2018-06-18,84.51,,11572.34,ID,804,,BlueRaven,Carval,1-7.5
18-14-000822,Solar,120,3.99,2018-06-04,88.42,,21087.53,CA,711,,SunRun,Carval,1-7.5
18-14-000976,Solar,240,3.99,2018-06-13,84.51,,28756.97,NV,792,,Ion,Carval,1-7.5
18-14-000988,Solar,240,4.99,2018-06-04,88.31,,9214.73,NM,712,,Vivint,Carval,1-7.5
18-14-000990,Solar,240,3.99,2018-06-18,84.51,,48278.1,CA,781,,InfinityEnergy,Carval,1-7.5
18-14-001018,Solar,240,3.99,2018-06-20,84.51,,21702.18,FL,736,,Vivint,Carval,1-7.5
18-14-001168,Solar,240,3.99,2018-06-07,84.51,,36956.11,NV,734,,EmpireSolar,Carval,1-7.5
18-14-001219,Solar,240,3.99,2018-06-18,84.51,,13573.77,ID,695,35.4,BlueRaven,Carval,1-7.5
18-14-001248,Solar,240,3.99,2018-06-21,84.51,,37108.74,CA,784,,Solcius,Carval,1-7.5
18-14-001299,Solar,240,3.99,2018-06-21,84.51,,19715.97,CA,716,,Solcius,Carval,1-7.5
18-14-001336,Solar,240,3.99,2018-06-20,84.51,,22227.52,AZ,653,50.4,ArcadiaSolar,Carval,1-7.5
18-15-000141,Solar,240,3.99,2018-06-05,84.51,,26025.43,NC,795,,BlueRaven,Carval,1-7.5
18-15-000200,Solar,120,2.99,2018-06-11,85.68,,8842.13,TX,669,44.7,Ion,Carval,1-7.5
18-15-000409,Solar,240,3.99,2018-06-07,84.51,,13432.14,CO,822,,BlueRaven,Carval,1-7.5
18-15-000506,Solar,240,3.99,2018-06-04,84.51,,16977.5,UT,798,,Solcius,Carval,1-7.5
18-15-000507,Solar,240,3.99,2018-06-19,84.51,,19396.79,TX,700,,Sunfinity,Carval,1-7.5
18-15-000518,Solar+Storage,240,3.99,2018-06-06,84.51,,23328.64,CA,777,,Sunfinity,Carval,1-7.5
18-15-000527,Solar,240,3.99,2018-06-21,84.51,,19887.85,UT,767,,Solcius,Carval,1-7.5
18-15-000548,Solar,240,3.99,2018-06-18,84.51,,34068.25,NY,832,,Solcius,Carval,1-7.5
18-15-000584,Solar+Storage,120,3.99,2018-05-25,88.42,,27551.75,CA,842,,SunRun,Carval,1-7.5
18-15-000592,Solar,240,3.99,2018-06-21,84.51,,30494.7,CA,662,19,InfinityEnergy,Carval,1-7.5
18-15-000668,Solar,240,3.99,2018-06-18,84.51,,8248.78,UT,709,,Solcius,Carval,1-7.5
18-15-000718,Solar,120,3.99,2018-05-23,88.42,,23660.85,CA,780,,SunRun,Carval,1-7.5
18-15-000720,Solar,240,3.99,2018-06-04,84.51,,15615.61,CO,717,,BlueRaven,Carval,1-7.5
18-15-000742,Solar,240,3.99,2018-06-05,84.51,,18967.53,CO,802,,Ion,Carval,1-7.5
18-15-000759,Solar,240,3.99,2018-06-20,84.51,,11664.15,TX,727,,CAMSolar,Carval,1-7.5
18-15-000764,Solar,240,5.99,2018-06-05,92.25,,26266.56,NM,729,,NMSolarGroup,Carval,1-7.5
18-15-000822,Solar,240,5.99,2018-06-04,92.25,,29978.27,CA,822,,SunRun,Carval,1-7.5
18-15-000839,Solar,240,3.99,2018-06-21,84.51,,26219.95,FL,756,,Vivint,Carval,1-7.5
18-15-000847,Solar,240,3.99,2018-06-07,84.51,,13884.24,CO,805,,BlueRaven,Carval,1-7.5
18-15-000908,Solar,240,3.99,2018-06-04,84.51,,18074.67,CO,792,,BlueRaven,Carval,1-7.5
18-15-000916,Solar,240,3.99,2018-06-20,84.51,,14394.11,TX,696,29.5,CAMSolar,Carval,1-7.5
18-15-000953,Solar,240,3.99,2018-06-19,84.51,,33354.1,CA,784,,Complete,Carval,1-7.5
18-15-000976,Solar,240,3.99,2018-06-07,84.51,,19334.79,CA,725,,FreedomForever,Carval,1-7.5
18-15-000996,Solar,240,3.99,2018-06-04,84.51,,16016.11,TX,678,34.6,SpeirInno,Carval,1-7.5
18-15-001004,Solar,240,3.99,2018-06-06,84.51,,16398.76,CA,659,47.5,Solcius,Carval,1-7.5
18-15-001008,Solar,120,2.99,2018-06-18,85.68,,16429.61,CO,728,,BlueRaven,Carval,1-7.5
18-15-001024,Solar,120,3.99,2018-05-30,88.42,,13455.81,CA,786,,SunRun,Carval,1-7.5
18-15-001058,Solar,240,3.99,2018-06-19,84.51,,21734.16,CA,830,,Complete,Carval,1-7.5
18-15-001136,Solar,240,3.99,2018-06-11,84.51,,22790.33,CA,768,,Solcius,Carval,1-7.5
18-15-001140,Solar,240,3.99,2018-06-20,84.51,,14394.11,TX,764,,CAMSolar,Carval,1-7.5
18-15-001157,Solar,240,3.99,2018-06-21,84.51,,35737.17,CA,684,51.2,FreedomForever,Carval,1-7.5
18-15-001397,Solar,240,3.99,2018-06-20,84.51,,13946.18,CO,807,,TotalSolar,Carval,1-7.5
18-15-001445,Solar,240,5.99,2018-06-18,92.25,,12520.64,CA,833,,SunRun,Carval,1-7.5
18-16-000209,Solar,240,3.99,2018-05-21,84.51,,13863.88,CO,693,45.8,Ion,Carval,1-7.5
18-16-000273,Solar+Storage,240,5.99,2018-06-14,92.25,,29887.2,CA,673,46.8,SunRun,Carval,1-7.5
18-16-000330,Solar,240,5.99,2018-04-27,92.25,,21521.2,CA,745,,SunRun,Carval,1-7.5
18-16-000369,Solar,120,3.99,2018-06-12,88.42,,27489.22,AZ,729,,SunRun,Carval,1-7.5
18-16-000391,Solar,240,4.99,2018-06-21,88.31,,28648.77,NV,661,44.8,Solcius,Carval,1-7.5
18-16-000410,Solar,240,3.99,2018-06-05,84.51,,34519.02,SC,698,28.5,BlueRaven,Carval,1-7.5
18-16-000426,Solar,240,3.99,2018-06-21,84.51,,47030.57,NC,759,,BlueRaven,Carval,1-7.5
18-16-000499,Solar+Storage,120,3.99,2018-05-22,88.42,,33928.29,CA,836,,SunRun,Carval,1-7.5
18-16-000513,Solar,240,3.99,2018-06-08,84.51,,26438.44,CO,819,,BlueRaven,Carval,1-7.5
18-16-000563,Solar,120,2.99,2018-06-06,85.68,,25454.06,NM,705,,Ion,Carval,1-7.5
18-16-000569,Solar,240,3.99,2018-06-19,84.51,,33303.93,CA,708,,Complete,Carval,1-7.5
18-16-000571,Solar,240,5.99,2018-06-01,92.25,,24746.2,CA,818,,SunRun,Carval,1-7.5
18-16-000617,Solar,240,4.99,2018-06-18,88.31,,24548.39,AZ,732,,Solcius,Carval,1-7.5
18-16-000660,Solar,240,3.99,2018-06-04,84.51,,36315.64,FL,731,,Vivint,Carval,1-7.5
18-16-000663,Solar,240,5.99,2018-06-01,92.25,,19349.11,CA,713,,SunRun,Carval,1-7.5
18-16-000696,Solar,120,2.99,2018-06-19,85.68,,17093.93,NV,823,,Ion,Carval,1-7.5
18-16-000723,Solar,240,3.99,2018-06-05,84.51,,21380.31,NV,703,,ArcadiaSolar,Carval,1-7.5
18-16-000739,Solar,180,3.99,2018-06-07,86.04,,31189.74,NJ,813,,Complete,Carval,1-7.5
18-16-000817,Solar,240,4.99,2018-06-19,88.31,,21181.23,CA,722,,Solcius,Carval,1-7.5
18-16-000842,Solar,120,3.99,2018-05-30,88.42,,30736.76,CA,812,,SunRun,Carval,1-7.5
18-16-000871,Solar,240,3.99,2018-06-19,84.51,,11813.89,CA,801,,Solcius,Carval,1-7.5
18-16-000899,Solar+Storage,240,5.99,2018-06-18,92.25,,26756.58,CA,736,,SunRun,Carval,1-7.5
18-16-000941,Solar,120,3.99,2018-06-04,88.42,,14358.48,CA,850,,SunRun,Carval,1-7.5
18-16-000947,Solar,240,3.99,2018-06-07,84.51,,14449.15,CO,741,,BlueRaven,Carval,1-7.5
18-16-000961,Solar,240,5.99,2018-06-04,92.25,,49444.17,TX,714,,EnvirosolarPower,Carval,1-7.5
18-16-000962,Solar,240,3.99,2018-06-05,84.51,,18665.35,TX,798,,InfinityEnergy,Carval,1-7.5
18-16-000978,Solar,240,3.99,2018-06-06,84.51,,26780.43,CO,712,,TotalSolar,Carval,1-7.5
18-16-001007,Solar,144,2.99,2018-06-21,84.34,,16816.93,NV,796,,FreedomForever,Carval,1-7.5
18-16-001008,Solar,240,3.99,2018-06-21,84.51,,13111.25,NV,675,31,Solcius,Carval,1-7.5
18-16-001018,Solar,120,3.99,2018-06-01,88.42,,17393.41,CA,799,,SunRun,Carval,1-7.5
18-16-001031,Solar,240,3.99,2018-06-21,84.51,,19434.05,CO,765,,BlueRaven,Carval,1-7.5
18-16-001053,Solar,240,3.99,2018-06-21,84.51,,38099.33,CA,739,,ElevationSolar,Carval,1-7.5
18-16-001055,Solar,240,3.99,2018-06-20,84.51,,17945.43,UT,752,,TotalSolar,Carval,1-7.5
18-16-001151,Solar,240,3.99,2018-06-21,84.51,,21869.01,CA,844,,InfinityEnergy,Carval,1-7.5
18-16-001321,Solar,240,3.99,2018-06-20,84.51,,18098.7,CO,804,,TotalSolar,Carval,1-7.5
18-16-001337,Solar,240,3.99,2018-06-21,84.51,,13123.1,CA,792,,Solcius,Carval,1-7.5
18-16-001356,Solar,240,3.99,2018-06-08,84.51,,23322.54,TX,797,,InfinityEnergy,Carval,1-7.5
18-16-001538,Solar,240,3.99,2018-06-18,84.51,,23757.91,CA,711,,SolarEnergyCollective,Carval,1-7.5
18-14-000485, Solar ,240,3.99,2018-05-30,83.32,,24564.27, CA ,672,66, Solcius ,Carval,1-7.18
18-09-000776, Solar ,240,3.99,2018-06-01,83.32,,25144.52, CA ,665,47.7, Solcius ,Carval,1-7.18
18-04-001022, Solar ,240,5.99,2018-06-15,91.5,,33587.14, CA ,832,, SunRun ,Carval,1-7.18
18-05-000568, Solar ,240,5.99,2018-06-13,91.5,,28561.67, CA ,781,, SunRun ,Carval,1-7.18
18-09-000925, Solar ,240,4.99,2018-06-12,87.34,,25590.66, CA ,799,, SolarMax ,Carval,1-7.18
18-09-000260, Solar ,240,4.99,2018-07-02,87.34,,34006.62, CO ,685,46.1, Ion ,Carval,1-7.18
18-06-001634, Solar ,240,3.99,2018-07-26,83.32,,17968.32, CO ,686,59.5, Ion ,Carval,1-7.18
18-08-000053, Solar ,240,4.99,2018-05-22,87.34,,24623.56, UT ,691,46.2, Solcius ,Carval,1-7.18
18-14-000553, Solar ,240,4.99,2018-06-07,87.34,,42639.38, NV ,694,1, FreedomForever ,Carval,1-7.18
18-02-000967, Solar ,240,4.99,2018-06-22,87.34,,20888.98, NV ,690,45.5, FreedomForever ,Carval,1-7.18
18-16-001285, Solar ,240,3.99,2018-06-20,83.32,,22210.6, CA ,687,5.1, FreedomForever ,Carval,1-7.18
18-03-000693, Solar ,240,5.99,2018-06-22,91.5,,17586.92, TX ,698,9.9, EnvirosolarPower ,Carval,1-7.18
18-08-000518, Solar ,240,4.99,2018-06-28,87.34,,22229.11, AZ ,687,45.2, Solcius ,Carval,1-7.18
18-02-000528, Solar ,240,3.99,2018-06-27,83.32,,32869.64, ID ,667,52, BlueRaven ,Carval,1-7.18
18-03-001107, Solar ,240,4.99,2018-07-23,87.34,,35303.79, CA ,697,30.3, SolarMax ,Carval,1-7.18
18-07-001170, Solar ,240,3.99,2018-08-01,83.32,,22688.87, CA ,668,34.7, Solcius ,Carval,1-7.18
18-01-000572, Solar ,240,4.99,2018-08-13,87.34,,35353.38, CT ,739,,1,Carval,1-7.18
18-01-000859, Solar ,240,3.99,2018-08-16,83.32,,19313.16, CA ,716,, Sunfinity ,Carval,1-7.18
18-01-000952, Solar+Storage ,120,3.99,2018-08-01,87.46,,24816.85, CA ,770,, SunRun ,Carval,1-7.18
18-01-001040, Solar ,240,3.99,2018-08-17,83.32,,25950.55, NV ,678,41.1, TitanSolarPower ,Carval,1-7.18
18-01-001432, Solar ,240,3.99,2018-08-15,83.32,,38088.96, TX ,778,, EncorSolar ,Carval,1-7.18
18-01-001485, Solar ,240,3.99,2018-08-14,83.32,,32758.21, TX ,721,, ErusEnergy ,Carval,1-7.18
18-01-001639, Solar ,240,3.99,2018-08-14,83.32,,53468.25, FL ,720,, Vivint ,Carval,1-7.18
18-01-001647, Solar ,240,4.99,2018-08-15,87.34,,35555.6, TX ,809,, Trismart ,Carval,1-7.18
18-01-001653, Solar ,240,3.99,2018-08-13,83.32,,25214.44, NC ,801,, BlueRaven ,Carval,1-7.18
18-01-001766, Solar+Storage ,120,3.99,2018-08-03,87.46,,20719.83, CA ,846,, SunRun ,Carval,1-7.18
18-01-001767, Solar ,144,2.99,2018-08-15,83.51,,16025.24, CA ,779,, SolarMax ,Carval,1-7.18
18-01-001837, Solar ,240,4.99,2018-08-14,87.34,,22204.11, TX ,727,, Trismart ,Carval,1-7.18
18-01-001863, Solar ,240,4.99,2018-08-15,87.34,,21688.41, AZ ,733,, SolarTopps ,Carval,1-7.18
18-01-001881, Solar ,240,5.99,2018-08-15,91.5,,24842.73, CA ,777,, SunRun ,Carval,1-7.18
18-01-001913, Solar ,240,3.99,2018-08-13,83.32,,35152.67, CO ,835,, SoprisSolar ,Carval,1-7.18
18-01-001922, Solar ,240,5.99,2018-08-17,91.5,,28349.16, FL ,744,, EnvirosolarPower ,Carval,1-7.18
18-01-001935, Solar ,240,4.99,2018-08-16,87.34,,30925.41, SC ,680,48.8,1,Carval,1-7.18
18-01-002039, Solar ,240,3.99,2018-08-13,83.32,,26639.91, CO ,669,40.2, Ion ,Carval,1-7.18
18-01-002117, Solar ,240,3.99,2018-08-14,83.32,,8841.27, TX ,840,, ErusEnergy ,Carval,1-7.18
18-01-002142, Solar ,240,3.99,2018-08-14,83.32,,26286.01, TX ,666,51.3, WellsSolar ,Carval,1-7.18
18-01-002167, Solar ,240,3.99,2018-08-16,83.32,,23350.98, CO ,826,, Ion ,Carval,1-7.18
18-01-002181, Solar ,240,3.99,2018-08-17,83.32,,11732.03, TX ,734,, ErusEnergy ,Carval,1-7.18
18-01-002193, Solar ,180,3.49,2018-08-14,83.12,,19184.8, UT ,832,, OneSolar ,Carval,1-7.18
18-01-002238, Solar ,240,4.99,2018-08-16,87.34,,42337.22, CA ,700,, FreedomForever ,Carval,1-7.18
18-01-002298, Solar ,240,3.99,2018-08-16,83.32,,14829, CA ,745,, EnergyServicePartners ,Carval,1-7.18
18-01-002337, Solar ,240,3.99,2018-08-14,83.32,,41723.82, AZ ,791,, ArcadiaSolar ,Carval,1-7.18
18-01-002449, Solar ,240,5.99,2018-08-14,91.5,,13776.81, CA ,850,, NewPower ,Carval,1-7.18
18-01-002737, Solar ,240,3.99,2018-08-13,83.32,,19535.94, CA ,795,, BrightPlanet ,Carval,1-7.18
18-02-000688, Solar ,240,3.99,2018-08-17,83.32,,26961.99, NV ,736,, TitanSolarPower ,Carval,1-7.18
18-02-001122, Solar ,240,3.99,2018-08-15,83.32,,20675.66, CO ,738,, Vivint ,Carval,1-7.18
18-02-001164, Solar+Storage ,120,3.99,2018-08-03,87.46,,19142.71, CA ,831,, SunRun ,Carval,1-7.18
18-02-001166, Solar ,240,5.99,2018-08-14,91.5,,43611.05, NM ,701,, NMSolarGroup ,Carval,1-7.18
18-02-001258, Solar ,240,3.99,2018-08-16,83.32,,22444.98, FL ,833,, Vivint ,Carval,1-7.18
18-02-001498, Solar ,240,4.99,2018-08-15,87.34,,43743.51, CA ,684,47.7, SemperSolaris ,Carval,1-7.18
18-02-001516, Solar ,240,3.99,2018-08-13,83.32,,33299.88, TX ,699,46.2, ErusEnergy ,Carval,1-7.18
18-02-001600, Solar ,120,3.99,2018-08-06,87.46,,18559.29, CA ,686,31.5, SunRun ,Carval,1-7.18
18-02-001655, Solar ,240,3.99,2018-08-17,83.32,,15621.03, NV ,760,, TitanSolarPower ,Carval,1-7.18
18-02-001746, Solar ,240,4.99,2018-08-14,87.34,,12554.55, CA ,816,, Solcius ,Carval,1-7.18
18-02-001753, Solar ,240,3.99,2018-08-16,83.32,,31558.13, TX ,844,, Sunfinity ,Carval,1-7.18
18-02-001778, Solar ,240,4.99,2018-08-17,87.34,,10315.55, CA ,732,, Solcius ,Carval,1-7.18
18-02-001833, Solar ,240,3.99,2018-08-17,83.32,,18194.24, NV ,726,, ArcadiaSolar ,Carval,1-7.18
18-02-001892, Solar ,240,3.99,2018-08-15,83.32,,39136.04, CA ,846,, NewPower ,Carval,1-7.18
18-02-001934, Solar ,240,3.99,2018-08-17,83.32,,26578.43, VA ,850,, Vivint ,Carval,1-7.18
18-02-001955, Solar ,240,3.99,2018-08-17,83.32,,31643.97, NV ,801,, Ion ,Carval,1-7.18
18-02-002060, Solar ,240,5.99,2018-08-17,91.5,,40288.78, NC ,715,, PowerHome ,Carval,1-7.18
18-02-002068, Solar ,240,5.99,2018-08-14,91.5,,31267.39, MO ,708,, EnvirosolarPower ,Carval,1-7.18
18-02-002186, Solar ,240,4.99,2018-08-17,87.34,,22490.54, CA ,808,, Solcius ,Carval,1-7.18
18-02-002188, Solar ,240,3.99,2018-08-14,83.32,,31814.41, TX ,683,21.1, ErusEnergy ,Carval,1-7.18
18-02-002227, Solar ,240,4.99,2018-07-30,87.34,,24118.2, FL ,778,, SunRun ,Carval,1-7.18
18-02-002288, Solar ,240,5.99,2018-08-16,91.5,,20623.73, TX ,769,, EnvirosolarPower ,Carval,1-7.18
18-02-002319, Solar+Storage ,240,5.99,2018-08-06,91.5,,33370.23, CA ,768,, SunRun ,Carval,1-7.18
18-02-002389, Solar ,240,3.99,2018-08-16,83.32,,24290.79, CA ,831,, Sunergy ,Carval,1-7.18
18-02-002421, Solar ,240,4.99,2018-08-17,87.34,,14773.98, CA ,688,38, Solcius ,Carval,1-7.18
18-02-002441, Solar ,240,4.99,2018-08-14,87.34,,13118.94, CA ,687,50.6, Solcius ,Carval,1-7.18
18-02-002461, Solar ,240,3.99,2018-08-16,83.32,,29199.17, TX ,731,, InfinityEnergy ,Carval,1-7.18
18-02-002506, Solar ,240,4.99,2018-08-14,87.34,,16012.57, TX ,725,, StandardEco ,Carval,1-7.18
18-02-002548, Solar ,240,3.99,2018-08-16,83.32,,11262.54, CA ,771,, EnergyServicePartners ,Carval,1-7.18
18-03-000328, Solar ,240,5.99,2018-08-16,91.5,,23391.89, NV ,666,2.9, Solcius ,Carval,1-7.18
18-03-001017, Solar ,240,3.99,2018-08-13,83.32,,20498.79, FL ,680,48.8, Vivint ,Carval,1-7.18
18-03-001043, Solar ,240,3.99,2018-08-17,83.32,,30129.72, CA ,835,, Solcius ,Carval,1-7.18
18-03-001081, Solar ,240,4.99,2018-08-17,87.34,,19912.3, CA ,739,, SolarMax ,Carval,1-7.18
18-03-001108, Solar ,240,3.99,2018-08-13,83.32,,75696.75, CA ,820,, Sunfinity ,Carval,1-7.18
18-03-001210, Solar ,240,3.99,2018-08-17,83.32,,15769.45, CA ,747,, Solcius ,Carval,1-7.18
18-03-001230, Solar ,240,3.99,2018-08-14,83.32,,32377.68, SC ,829,, BlueRaven ,Carval,1-7.18
18-03-001301, Solar ,240,3.99,2018-08-17,83.32,,35279.48, TX ,686,48.8, Sunfinity ,Carval,1-7.18
18-03-001322, Solar ,240,5.99,2018-08-17,91.5,,47422.33, VA ,740,, PowerHome ,Carval,1-7.18
18-03-001400, Solar ,240,5.99,2018-08-16,91.5,,32874.24, MI ,714,, PowerHome ,Carval,1-7.18
18-03-001432, Solar ,240,3.99,2018-06-28,83.32,,28446.49, AZ ,753,, FreedomForever ,Carval,1-7.18
18-03-001469, Solar ,240,4.99,2018-08-14,87.34,,26643.88, NY ,733,, Solcius ,Carval,1-7.18
18-03-001490, Solar+Storage ,240,5.99,2018-08-03,91.5,,32847.41, CA ,828,, SunRun ,Carval,1-7.18
18-03-001540, Solar ,180,3.49,2018-08-14,83.12,,34832.27, TX ,837,, WellsSolar ,Carval,1-7.18
18-03-001553, Solar ,240,4.99,2018-08-15,87.34,,15207.64, AZ ,702,, SolarTopps ,Carval,1-7.18
18-03-001617, Solar ,240,3.99,2018-08-15,83.32,,23931.37, UT ,769,, ESSolar ,Carval,1-7.18
18-03-001644, Solar ,180,4.99,2018-08-13,88.39,,25727.8, RI ,741,, BrightPlanet ,Carval,1-7.18
18-03-001653, Solar ,240,3.99,2018-08-17,83.32,,22876.2, FL ,671,20.1, Vivint ,Carval,1-7.18
18-03-001831, Solar ,240,3.99,2018-08-15,83.32,,15543.47, NV ,747,, Solcius ,Carval,1-7.18
18-03-001916, Solar ,240,4.99,2018-08-15,87.34,,53022.38, NV ,702,, FreedomForever ,Carval,1-7.18
18-03-001930, Solar ,240,3.99,2018-08-17,83.32,,18042.48, UT ,720,, Skyline ,Carval,1-7.18
18-03-001933, Solar ,240,3.99,2018-08-13,83.32,,39797.96, ID ,757,, BlueRaven ,Carval,1-7.18
18-03-001942, Solar ,240,3.99,2018-08-13,83.32,,63788.91, CA ,752,, Synergy ,Carval,1-7.18
18-03-001963, Solar ,240,4.99,2018-08-17,87.34,,35310.67, CA ,833,, SolarMax ,Carval,1-7.18
18-03-002029, Solar ,240,4.99,2018-08-16,87.34,,17479.85, TX ,674,32.7, Trismart ,Carval,1-7.18
18-03-002045, Solar ,240,4.99,2018-08-17,87.34,,28831.98, CA ,833,, Solcius ,Carval,1-7.18
18-03-002079, Solar ,240,3.99,2018-08-13,83.32,,25299.56, CA ,678,46.2, Sunergy ,Carval,1-7.18
18-03-002081, Solar ,240,3.99,2018-08-15,83.32,,18585.57, AZ ,755,, FreedomForever ,Carval,1-7.18
18-03-002108, Solar ,240,4.99,2018-08-13,87.34,,31286.2, CA ,679,27.3, SolarMax ,Carval,1-7.18
18-03-002193, Solar ,144,2.99,2018-08-15,83.51,,28470.92, CA ,850,, SolarMax ,Carval,1-7.18
18-03-002220, Solar ,240,4.99,2018-08-13,87.34,,22504.19, CA ,732,, Solcius ,Carval,1-7.18
18-03-002261, Solar ,240,5.99,2018-08-17,91.5,,49004.2, MO ,821,, EnvirosolarPower ,Carval,1-7.18
18-03-002266, Solar ,240,3.99,2018-08-14,83.32,,30959.07, FL ,752,, AltaraySolar ,Carval,1-7.18
18-03-002405, Solar ,240,3.99,2018-08-13,83.32,,23785.63, CA ,704,, FreedomForever ,Carval,1-7.18
18-03-002527, Solar ,240,3.99,2018-08-14,83.32,,18970.15, CO ,723,, BlueRaven ,Carval,1-7.18
18-03-002590, Solar ,240,4.99,2018-08-17,87.34,,9659.91, CA ,774,, Solcius ,Carval,1-7.18
18-03-002639, Solar ,240,3.99,2018-08-17,83.32,,15911.2, UT ,713,, TotalSolar ,Carval,1-7.18
18-03-002695, Solar ,240,3.99,2018-08-13,83.32,,10602.55, CO ,822,, BlueRaven ,Carval,1-7.18
18-04-000225, Solar ,240,4.99,2018-08-17,87.34,,34122.63, NV ,732,, Solcius ,Carval,1-7.18
18-04-000501, Solar ,240,4.99,2018-08-14,87.34,,37686.44, MA ,850,, CriusEnergy ,Carval,1-7.18
18-04-000708, Solar ,240,4.99,2018-08-16,87.34,,31214.96, MA ,722,, CriusEnergy ,Carval,1-7.18
18-04-000830, Solar ,120,2.99,2018-08-13,84.66,,31758.44, TX ,726,, EncorSolar ,Carval,1-7.18
18-04-000878, Solar ,240,3.99,2018-08-17,83.32,,21790.56, SC ,772,, Solcius ,Carval,1-7.18
